GalID,RAJ2000,DEJ2000,z,X,Y,Z,Grp,Ngal,pred_cc,pred_louvain,pred_leiden,weighted_degree,clustering_coeff
91,195.03386,27.97694,0.02239,-84.17057413776871,-22.60675929921311,46.29541042636911,52,680.0,0,0,3,1.7503153743207296,0.07199576708036444
194,194.89877,27.95926,0.0248,-93.2513057789578,-24.810110385725668,51.21949670989495,52,680.0,0,5096,0,2.439685402043992,0.09497524690462116
361,194.38314,28.47694,0.02345,-87.98333002658615,-22.56268469823942,49.26949887652563,52,680.0,0,5096,0,1.106542148166029,0.09064497889235128
389,194.35149,27.49782,0.02538,-96.06301338560272,-24.57811410936283,51.613270396297004,52,680.0,0,2,0,2.8139107649017365,0.12869140840852128
532,195.95812,28.18573,0.02411,-90.02016436785662,-25.741671735637308,50.17304933394327,52,680.0,0,5096,0,0.11406269343081216,0.0
597,195.47388,27.62445,0.0271,-101.88024266033895,-28.20388095196083,55.322389870349674,52,680.0,0,2,2,0.6976132289508805,0.07654495643281159
686,193.72987,27.4127,0.02706,-102.73842757979266,-25.101679685965497,54.85076971680698,52,680.0,0,2,2,1.2143616580909582,0.17116849661779887
706,195.23359,27.79085,0.02748,-103.26090908096522,-28.12038448442797,56.40412150228942,52,680.0,0,2,2,1.1943280415583861,0.07376555003153172
730,194.11606,26.98742,0.0224,-85.32252594748243,-21.456963792362323,44.803298043733925,52,680.0,0,0,3,0.8454068451201444,0.032700729203311844
743,194.18132,27.1788,0.02621,-99.54610336349963,-25.15450663367734,52.71981719901755,52,680.0,0,2,2,1.3520226448213206,0.0606827459883538
999,192.49113,27.82241,0.02398,-91.22913004109006,-20.210194333486587,49.31252651816969,52,680.0,0,5096,0,0.48834433578628994,0.08576354286786347
1030,195.0747,28.2024,0.02933,-109.82677294105467,-29.58151711912003,60.99345533399935,52,680.0,0,2,2,0.6080978091346074,0.0538878569213884
1316,195.20333,28.15834,0.02025,-75.97500972234377,-20.646694935919506,42.14123686738308,52,680.0,0,0,3,2.8734833827116395,0.11806342584974908
1365,194.76625,28.1237,0.02734,-102.64605371712264,-27.055582950520822,56.736253503198085,52,680.0,0,2,2,1.1567836739541462,0.07707097693973415
1416,194.39119,28.48226,0.02176,-81.66812804678769,-20.955426422273174,45.744850368449804,52,680.0,0,0,3,0.8139662909395177,0.048359293353819194
1506,195.39,29.13059,0.0254,-94.21879169697209,-25.934487948235333,54.46026343414151,52,680.0,0,5096,0,0.3794361046774451,0.05652550102583583
